review,rating,sentiment,review_processed,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
barangnya sesuai gambar dan detail nya,5,2,barang sesuai gambar detail,42,2.0,0.9926,"barang, aplikasi, murah, harga, belanja, sesuai, toko, beli, jual, amanah","['barang', 'sesuai', 'gambar', 'detail']"
Memakan memori banyak,4,2,makan memori,43,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['makan', 'memori']"
Mulai berkurang promo tagihan,5,2,promo tagih,44,3.0,0.9853,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['promo', 'tagih']"
Sangat membatu sekali dalam pembelian kelas skil akademi terima kasih buka lapak,5,2,batu beli kelas skil akademi,45,1.0,0.9926,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['batu', 'beli', 'kelas', 'skil', 'akademi']"
sangat mudah dengan shopee,5,2,mudah shopee,46,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['mudah', 'aplikasi']"
Dikit2 update.. Kalo g diupdate g bisa digunakan...,1,0,dikit update diupdate,47,0.0,0.6612,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['dikit', 'update', 'diupdate']"
Mohon bantuan kenapa shopee saya tiba2 dinonaktifkan. Saya pembeli. Saya sudah member gold. Pemakaian wajar. Shopeepay saya masih ada uangnya. Gimna pemulihannya???,5,2,shopee nonaktif beli member gold pakai wajar shopeepay uang gimna pulih,48,3.0,0.6534,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['aplikasi', 'nonaktif', 'beli', 'member', 'gold', 'pakai', 'wajar', 'ewallet', 'uang', 'gimna', 'pulih']"
"Semoga tetap baik pelayanan nya, sejauh ini belum pernah kecewa pakai tokped. Jadi 5 bintang tetep dikasih",5,2,layan pakai bintang tetep,49,0.0,0.7219,"aplikasi, akun, iklan, bintang, shoppe, update, unduh, tolong, handphone, pakai","['layan', 'pakai', 'bintang', 'tetep']"
"Fast respon,kualitas bagus",5,2,fast respon kualitas,50,3.0,0.6612,"ongkir, aplikasi, kirim, bayar, gratis, pesan, barang, cepat, pakai, kurir","['fast', 'respon', 'kualitas']"
Belanja puas dan aman,5,2,belanja aman,51,1.0,0.9853,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['belanja', 'aman']"
Materinya dan beli pelatihan dsini lebih mudah..semoga jaya,5,2,materi beli latih dsini mudah jaya,52,1.0,0.7937,"aplikasi, belanja, mudah, sukses, online, aman, rumah, percaya, cepat, pakai","['materi', 'beli', 'latih', 'dsini', 'mudah', 'jaya']"
